Aelrindel Tristumal
Aerendyl Mianelis
Aerith Waesvyre
Aien Nornala
Ailen Raloxisys
Aimer Qinsys
Aire Yelgeiros
Aithlin Dorfina
Aithlin Magdan
Aithlin Rostina
Alaion Ararora
Alais Raloris
Alasse Ianlana
Amra Jororis
Aneirin Elrieth
Anlyth Sarwarin
Arryn Keylana
Arthion Baltoris
Arthion Fensandoral
Arthion Glynfir
Arthion Gresys
Artin Farroris
Ashryn Urimaris
Aubron Zincyne
Avourel Phimys
Axilya Ralobanise
Ayen Adwynn
Aymer Dorsalor
Aymer Venran
Ayre Farieth
Bellas Glyntumal
Bellas Syldove
Bellas Zinfir
Bialaer Brynan
Bialaer Luhorn
Bialaer Umeleth
Caeda Naejeon
Chaenath Iarmenor
Ciliren Heina
Cithrel Orisandoral
Cithrel Qinberos
Cohnal Daemoira
Ehlark Wynlamin
Ehrendil Keldithas
Elandorr Helero
Elandorr Magtumal
Elanil Chaelamin
Elanil Faeqen
Eldaerenth Zinxisys
Eldrin Chaekalyn
Elidyr Miraro
Elidyr Nerinan
Elisen Torlen
Ellisar Norzorwyn
Ellisar Presven
Elpharae Ravakian
Emmyth Ularora
Eroan Genlana
Eroan Naetoris
Estelar Torpetor
Falael Chaetris
Falael Presthyra
Farryn Xilgolor
Felaern Quiwraek
Felaern Waesbella
Filverel Faedove
Gaerradh Magqen
Gaerradh Qinmyar
Gaerradh Vensandoral
Galan Daedove
Goren Elalar
Goren Herneiros
Goren Inanorin
Haemir Qina
Halaema Jokrana
Halamar Caihice
Halamar Yesthyra
Haldir Faexina
Halueth Pafina
Halueve Petdithas
Halueve Waesvalur
Horith Raloris
Hycis Morjeon
Hycis Orina
Iefyr Fenbalar
Ilbryen Olaven
Ilbryen Yllaxina
Iliphar Crasys
Iliphar Sarkalyn
Ilphas Yllamaer
Ivasaar Glynthyra
Jassin Daeren
Kailu Carmaris
Kailu Rowynn
Katar Keyna
Katar Varoris
Kelvhan Kelmyar
Kelvhan Sarqen
Kelvhan Zinqirelle
Kendel Arawenys
Kendel Palamin
Keryth Vengwyn
Khidell Wynnorin
Khidell Wysawarin
Kindreth Qinfir
Kindreth Xilsys
Kymil Umephine
Laeroth Morfir
Larrel Petgella
Lathlaeril Phiven
Lazziar Aramys
Lazziar Orinala
Lazziar Qinydark
Lazziar Sylmoira
Lethonel Quivyre
Lethonel Yesydark
Lhoris Inajor
Lierin Faphine
Lierin Genrie
Lierin Qiwynn
Lorsan Zumxisys
Maeral Entris
Maiele Loracaryn
Malon Norphyra
Malonne Arakas
Merellien Vensandoral
Merellien Wynharice
Merellien Yllaydark
Merith Ravavaris
Merith Xyrzorwyn
Methild Miatris
Micaiah Reylana
Mnementh Carquinal
Mnementh Sylleth
Myriil Adfiel
Myrin Balzeiros
Myrin Miaqen
Myrin Waesstina
Myrrh Dabalar
Myrrh Yingwyn
Naesala Mirakrana
Naesala Ulavalur
Naevys Gilris
Namys Paxidor
Namys Torwarin
Narbeth Syldithas
Nelaeryn Waeslamin
Nithenoel Brydan
Nueleth Famaer
Nueleth Ulamoira
Nuovis Adwraek
Nuovis Qiwenys
Nuovis Trisnala
Paeral Nerixisys
Paeral Reydithas
Paeral Torynore
Paeris Naeynore
Pelleas Quiynore
Pelleas Torstina
Phraan Valfir
Rathiain Valphine
Rhalyf Elfiel
Rhalyf Jovalur
Rhalyf Quikian
Rhalyf Yinyra
Riluaneth Trisdan
Rolim Mirawynn
Ryllae Helequinal
Ryllae Miragwyn
Ryo Phirel
Saevel Vasalor
Sanev Waesharice
Selanar Faebella
Selanar Faetris
Shalaevar Waesro
Shalaevar Wysarona
Sinaht Magnan
Sylmare Quikas
Syvis Qipeiros
Taenaran Helephine
Taeral Sarkian
Tamnaeth Holatumal
Tannatar Dorstina
Tannyll Fapetor
Tannyll Wyntris
Tanyl Olona
Tanyth Faleth
Tanyth Qisys
Thallan Leothana
Uneathen Wynwarin
Uneathen Yesxina
Vamir Kealee
Venali Yesgella
Virion Qitoris
Vulmar Helemenor
Vulmer Quizorwyn
Vulwin Fatoris
Wirenth Keymenor
Wynather Padithas
Zeno Carzorwyn
