Adarl Clanmaul
Aggal Graveblade
Ahltok Fireflesh
Andunti Keentwist
Anzel Falsecrusher
Argimzuth Redsnarl
Azom Lowthunder
Bam Axehorn
Barg Nosechest
Bevtash Grimflesh
Bikza'thunk Sharplash
Birmash Falseblood
Biti Warpspite
Bol Proudbringer
Bra'rintirm Boldfury
Brarkingorm Darkspirit
Brarzu Wildedge
Breturm Strongcleaver
Brirl Dreamwolf
Brittuzur Primehorn
Brohlosh Cleardeath
Brohlotvos Boldkill
Brorkukmorg Ironmarch
Brost Strongbones
Brukta Halfedge
Brun'domakk Proudstriker
Bukervom Cruelpack
Buku Noseseeker
Burntorl Grandbattle
Cahlzonkek Brokenseeker
Caszuld Burningbringer
Cavnus Bronzedrum
Cirm Warwolf
Cirngumakk Ragemask
Cogtast Goretaker
Coknuk Eagerthunder
Crahlagvak Frostblood
Crasdu Deadspite
Craz'dakdun Fullwatch
Crirl Nosehammer
Crogmurez Battleflesh
Crorgaz'duth Starkmask
Crorn Skullfight
Crosest Deadbone
Cru'duvur Hellspite
Crudig'dink Ironslice
Crugrutzash Darkteeth
Crurgatve Clanwatch
Crurl Dragonheart
Crush Strongedge
Cugdunk Battlesmile
Cuhlzem Bloodrage
Culnach Ragechest
Culnank Clanhunt
Cunzurorl Boldblade
Daklink Halfscream
Dem Coldslice
Demm Vicebleeder
Desgim Ironthunder
Dimi Proudmarch
Dithogdim Shadowbones
Don Shadowbones
Drakk Hellchest
Drattarg Clearslayer
Drognush Proudlaugh
Drokk Frostfeast
Dronoz Doomthunder
Drugvovgi Vengethunder
Druvga Hollowlash
Dugardesh Deadforce
Duhltest Blacktwist
Duverm Doomdeath
Duzus Brightbattle
Engom Grandaxe
Ernigg Madmaw
Gasutgith Primebleeder
Gesutem Ragebones
Gevmur'tos Wrathchewer
Girngolvuld Deathsword
Gith Firedeath
Gokdi Foresplitter
Gosekk Halfsmile
Gosh Gorehorn
Gragagkekk Warfist
Grakor Strongshift
Grazvogild Deathslayer
Grengusgorn Fireteeth
Greth Wickedtwist
Grivulkol Twinforce
Grolda Hollowchewer
Grugterm Burningstriker
Grurgamm Boneflame
Grurgu Wickedbeast
Grurm Stormtask
Guke Vengewolf
Gul Boldnight
Guvuk Ragehunt
Hamu Lowslice
Hath Lowsplitter
Hirna Deadchewer
Host Barrentale
Host Bronzeforce
Hul Stormfury
Igbugtogg Grimheart
Itzan Grandsmoke
Kaggunze Rabidlock
Kast Eagerlock
Kerg Wolfbeast
Ki'dontus Axemane
Kigag'ro Primehorn
Komoz Waredge
Krakekk Brightfall
Krarntezmos Boldtaker
Kre'dovogg Gravesnarl
Krikk Coldfang
Krogruhlgith Wrathshift
Kromm Hollowwatch
Krorg Hollowfall
Kroz Skullfury
Krugnosh Barrenedge
Kruhltek Axebone
Krur'geden Madfist
Krush Gorenight
Kusderl Cruelband
Mald Aridbone
Mes Ragemask
Mokmagan Clanmaw
Mold Eagerfall
Momdold Deepchain
Murzato Aridsword
Ogzagg Frostlaugh
Okikk Blindtwist
Okneth Deathkill
Oktom Bronzebrass
Olnak Lonechain
Omgul Wrathbattle
Ontur'tum Lonespirit
Orvatek Hollowbleeder
Ovgal Hollowstriker
Ovza Saurfire
Ralgur Deathrage
Rantuktegg Halffang
Rasekk Lonehand
Razum Nosescream
Rigzist Cravenlock
Rilovunk Eagerkill
Rin Dualhand
Rokimeld Bitterwolf
Rosdato Thundermaul
Rotzagzurm Ragehammer
Rurmergast Rageslice
Sa'thungu Strongtaker
Saltegg Dreambrass
Sarnoz Colddrums
Savamm Skullheart
Segg Doomeye
Selte Stoutwish
Sern Warshift
Sittuld Lowlaugh
Sohltash Stoutchampion
Thagmom Frostpride
Thakk Rabidblade
Thalo Hollowarm
Thazorg Starkchampion
Thogg Wickedsmoke
Thohlzush Shadowsong
Thrald Fullwind
Thraz Vengemask
Thregzokmumm Tuskmaul
Thrivdogkesh Angerarm
Throvmodu Rapidchain
Thrukdat'gek Wickedsword
Thuhlgur Frostbringer
Thumoth Rocktwist
Thunast Laughingmane
Tragmoch Keensorrow
Trartarvagg Silentmarch
Travtu Laughingnight
Trazot're Deathsong
Trekmale Blacknight
Trergust Halfbrass
Tri'thindo Twinlash
Trol Shadowchains
Tror Eagertwist
Trorg Axetaker
Trugo'tom Blacktale
Truvdeth Noseband
Uhlnurtun Hollowripper
Unorzust Twinbinder
Unta'ron Proudbreath
Urzogton Warpslice
Usgurn Crueltooth
Ute Hollowfang
Zaldahlgath Cravensorrow
Zavetoch Tuskmarch
Zimger Foreguard
Zish Thunderheart
Zivtikk Halfwolf
Zoknorn Wrathfight
Zuner Axeguard
